2025-02-18 00:52:56,327 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "OPTIONS /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,327 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "OPTIONS /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,343 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "OPTIONS /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,343 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "OPTIONS /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,319 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=18&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,215 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=12&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,227 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=12&y=23&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,611 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:56,611 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:56,725 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,725 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,738 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,738 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:56,863 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:56,863 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:56,893 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=18&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,893 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=18&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,898 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=18&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,898 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/meteosource/tile?x=18&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:56,985 | api.external_api | INFO | Found state NV for location Las Vegas
2025-02-18 00:52:56,986 | api.external_api | INFO | Found 0 alerts for state NV
2025-02-18 00:52:56,986 | api.external_api | INFO | Returning 0 total alerts across all locations
2025-02-18 00:52:56,987 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/external/alerts?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:56,987 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:56] "GET /api/external/alerts?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:57,021 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=18&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,021 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=18&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,100 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:57,100 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:57,102 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:57,102 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:57,230 | api.external_api | INFO | Found state NV for location Las Vegas
2025-02-18 00:52:57,231 | api.external_api | INFO | Found 0 alerts for state NV
2025-02-18 00:52:57,231 | api.external_api | INFO | Returning 0 total alerts across all locations
2025-02-18 00:52:57,232 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/external/alerts?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:57,232 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/external/alerts?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:57,522 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=17&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,522 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=17&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,634 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=16&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,634 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=16&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,749 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=13&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,749 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=13&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,755 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=14&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,755 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=14&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:57,765 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:57] "GET /api/meteosource/tile?x=15&y=27&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
